鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北投區,租賃房屋,臺北市北投區吉利街２１３巷７號二樓,0.0,,,,1141125,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721221,126.21,3,1,2,有,無,有,26000,206,,0.0,0,,RPXOMLRLJIKGFEA88CC,整棟(戶)出租,無,1141210~1151209,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
士林區,租賃房屋,臺北市士林區承德路四段４０巷４７號,0.0,,,,1141125,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610812,35.53,2,1,1,有,無,有,13500,380,,0.0,0,續租案件；,RPQPMLRLJIKGFEA28CC,整棟(戶)出租,無,1150101~1151231,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
士林區,租賃房屋,臺北市士林區承德路四段３３２號２樓,0.0,,,,1141125,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700820,19.650000000000002,5,0,5,有,無,有,10850,552,,0.0,0,續租案件；,RPSPMLRLJIKGFEA48CC,分租套房,無,1141230~1150228,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
士林區,租賃房屋,臺北市士林區華齡街１７巷３０號二樓,0.0,,,,1141126,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0590325,68.2,3,2,1,有,無,有,20000,293,,0.0,0,續租案件；,RPTPMLRLJIKGFEA58CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
大安區,租賃房屋,臺北市大安區大安路一段２０６巷１號３樓,0.0,,,,1141126,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,114.71,3,2,2,有,無,無,40000,349,,0.0,0,租金總額含稅；,RPRNMLRLJIKGFFA28CC,,無,1141211~1171210,無,冷氣、熱水器、瓦斯或天然氣,
大安區,租賃房屋,臺北市大安區信義路四段６０之２４號三樓,0.0,,,,1141125,土地0建物1車位0,三層,6,公寓(5樓含以下無電梯),,鋼筋混凝土造,0600301,31.29,1,1,1,有,有,有,15000,479,,0.0,0,管理費每個月300元不包含在租金內,RPSNMLRLJIKGFFA38CC,獨立套房,有,1141125~1151124,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
大安區,租賃房屋,臺北市大安區信義路四段６３號１４樓,0.0,,,,1141126,土地0建物1車位0,十四層,17,辦公商業大樓,住家用,鋼筋混凝土造,0751229,257.43,5,2,2,有,有,無,120000,466,,0.0,0,,RPVNMLRLJIKGFFA68CC,,有,1141201~1161130,有,冷氣,
大安區,租賃房屋,臺北市大安區和平東路二段１７５巷３７弄３號三樓,0.0,,,,1141125,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,111.22,4,1,2,有,無,有,19000,171,,0.0,0,,RPQOMLRLJIKGFFA28CC,整棟(戶)出租,無,1141129~1151128,無,冷氣、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
大安區,租賃房屋,臺北市大安區通化街１６２巷２之１號一樓,41.6,住,,,1141127,土地1建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0660916,199.43,3,2,2,有,無,無,96800,485,,0.0,0,,RPQNMLRLJIKGFFA28DC,,無,1141201~1161130,無,,
中正區,租賃房屋,臺北市中正區汀州路一段１９９號３樓,0.0,,,,1141127,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0631230,12.82,4,1,1,有,無,有,13500,1053,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPSNMLSLJIKGFAA97CC,分租雅房,無,1141130~1160329,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
文山區,租賃房屋,臺北市文山區興隆路四段１０５巷４８之１號３樓,0.0,,,,1141124,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851014,40.97,1,1,1,有,有,有,16500,403,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件續租案件；,RPTNMLSLJIKGFAA08CC,獨立套房,有,1141223~1151222,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區景豐街６２巷２３號６樓,0.0,,,,1141125,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831202,72.16,1,1,1,有,有,無,19000,263,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件續租案件；,RPUNMLSLJIKGFAA18CC,獨立套房,有,1141217~1151216,有,,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區木新路二段１７號八樓,0.0,,,,1141124,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841024,50.57,1,1,1,有,有,有,19000,376,,0.0,0,續租案件；,RPWNMLSLJIKGFAA38CC,獨立套房,有,1141205~1150514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區木新路二段１５之２號八樓,0.0,,,,1141124,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,30.16,1,1,1,有,有,有,9000,298,,0.0,0,續租案件；,RPXNMLSLJIKGFAA48CC,獨立套房,有,1141205~1150514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區興隆路四段８巷１弄３號四樓,0.0,,,,1141125,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,21.0,1,1,1,有,無,有,6500,310,,0.0,0,續租案件；,RPOOMLSLJIKGFAA67CC,獨立套房,無,1141201~1150524,無,熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,臺北市中正區中華路二段３０３巷１１號５樓,0.0,,,,1141125,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,加強磚造,0560519,43.15,1,1,1,有,無,有,11500,267,,0.0,0,續租案件；,RPPOMLSLJIKGFAA77CC,獨立套房,無,1141209~1161208,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區西園路二段３７２巷１弄１０號,0.0,,,,1141126,土地0建物1車位0,全,2,透天厝,,加強磚造,,62.07,2,1,1,有,無,有,20900,337,,0.0,0,續租案件；,RPQNMLSLJIKGFBA87CC,整棟(戶)出租,無,1141210~1151209,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,臺北市中正區延平南路１６０之１號,0.0,,,,1141122,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0560407,19.68,12,0,12,有,無,有,16000,813,,0.0,0,303號房。,RPSNMLSLJIKGFBA08CC,分租套房,無,1141122~1151121,無,冷氣、熱水器、洗衣機、電視機、冰箱,
中正區,租賃房屋,臺北市中正區忠孝東路一段１６２號８樓之１,0.0,,,,1141124,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1080807,55.86,1,1,1,有,有,無,45263,810,,0.0,0,此租金已扣除稅5150元，健保1087元續租案件；,RPRQMLSLJIKGFBA28CC,整棟(戶)出租,有,1141115~1151114,有,,
中正區,租賃房屋,臺北市中正區北平東路２４號７樓之２,0.0,,,,1141126,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0661111,62.53,1,0,1,有,有,無,26000,416,,0.0,0,租賃建物部分範圍。多人共同承租2；,RPSQMLSLJIKGFBA38CC,整棟(戶)出租,有,1141220~1171219,有,,
萬華區,租賃房屋,臺北市萬華區寶興街８０巷１９號４樓,0.0,,,,1141125,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651118,87.41,2,1,1,有,無,有,23500,269,,0.0,0,續租案件；,RPUQMLSLJIKGFBA58CC,整棟(戶)出租,無,1141215~1151214,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,臺北市中正區紹興北街３１巷２６號,0.0,,,,1141128,土地0建物0車位0,三層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0730630,24.86,7,0,7,有,有,有,24000,965,,0.0,0,303室租金總額含管理費；水費；,RPXQMLSLJIKGFBA88CC,分租套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
中山區,租賃房屋,臺北市中山區南京東路二段１４８號,0.0,,,,1141125,土地0建物0車位0,全,4,透天厝,,加強磚造,0560718,25.57,5,1,4,有,無,有,15500,606,,0.0,0,,RPSNMLSLJIKGFCA18CC,分租套房,無,1141125~1151124,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
中山區,租賃房屋,臺北市中山區南京東路二段１４８號,0.0,,,,1141125,土地0建物0車位0,全,4,透天厝,,加強磚造,0560718,25.57,5,1,4,有,無,有,15500,606,,0.0,0,,RPTNMLSLJIKGFCA28CC,分租套房,無,1141125~1151124,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
中山區,租賃房屋,臺北市中山區林森北路１０７巷３０號５樓之８,0.0,,,,1141123,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711115,27.81,1,0,1,有,有,有,18000,647,,0.0,0,此為台北市公會版社會住宅包租代管計畫之物件,RPXNMLSLJIKGFCA68CC,獨立套房,有,1141123~1151122,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,臺北市中山區松江路３０５號３樓,0.0,,,,1141126,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630321,95.77,2,1,2,有,無,無,61440,642,,0.0,0,租金總額含稅；,RPQOMLSLJIKGFCA08CC,,無,1141127~1161204,無,冷氣,
中山區,租賃房屋+車位,臺北市中山區樂群二路１１６巷６１弄１６號５樓,0.0,,,,1141121,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971126,256.53,3,2,2,有,有,無,160000,624,塔式車位,20.72,0,租金總額含管理費；其他稅；,RPSOMLSLJIKGFCA28CC,整棟(戶)出租,有,1141220~1161219,有,,
內湖區,租賃房屋,臺北市內湖區新明路２３２號４樓,0.0,,,,1141127,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0711214,16.8,4,0,1,有,無,有,12500,744,,0.0,0,租金總額含水費；電費；瓦斯費；網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPVOMLSLJIKGFCA58CC,分租雅房,無,1141210~1151209,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
中山區,租賃房屋,臺北市中山區中山北路一段９２號八樓之１,0.0,,,,1141127,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770401,67.85,1,1,1,有,無,無,40000,590,,0.0,0,,RPWOMLSLJIKGFCA68CC,,有,1141215~1151214,有,,
內湖區,租賃房屋,臺北市內湖區文德路１０６號３樓之２,0.0,,,,1141121,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850206,28.330000000000002,1,1,1,有,有,無,18200,642,,0.0,0,,RPOPMLSLJIKGFCA97CC,獨立套房,有,1141208~1151207,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中山區,租賃房屋,臺北市中山區松江路２號３樓之７,0.0,,,,1141125,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0701208,34.28,2,1,1,有,有,有,19900,581,,0.0,0,續租案件；,RPQPMLSLJIKGFCA18CC,整棟(戶)出租,有,1141201~1161130,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
中山區,租賃房屋,臺北市中山區松江路２０６號十四樓之４,0.0,,,,1141126,土地0建物1車位0,十四層,14,辦公商業大樓,商業用,鋼筋混凝土造,0661222,144.04,3,0,0,有,有,無,59000,410,,0.0,0,自公證簽約交屋日起至114年12月31日止為免租裝潢期。,RPRPMLSLJIKGFCA28CC,,有,1150101~1171231,有,,
中山區,租賃房屋,臺北市中山區松江路６９巷１１號４樓之１,0.0,,,,1141123,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020903,69.53,2,1,1,有,有,有,48000,690,,0.0,0,租金總額含管理費；,RPUPMLSLJIKGFCA58CC,整棟(戶)出租,有,1141201~1161130,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
中山區,租賃房屋,臺北市中山區民權東路２段９號６樓之１４,0.0,,,,1141121,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681022,41.2,1,0,1,有,有,有,12000,291,,0.0,0,續租案件；,RPWPMLSLJIKGFCA78CC,獨立套房,有,1150115~1160114,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
松山區,租賃房屋,臺北市松山區八德路三段１５５巷２６弄２１號３樓,0.0,,,,1141122,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630723,11.0,4,1,1,有,無,有,11600,1055,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPRNMLSLJIKGFDA18CC,分租雅房,無,1141129~1151128,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
信義區,租賃房屋,臺北市信義區福德街１７７巷１０號三樓,0.0,,,,1141126,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630903,78.52,3,1,1,有,無,無,31000,395,,0.0,0,,RPSNMLSLJIKGFDA28CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
信義區,租賃房屋,臺北市信義區富陽街７２巷２４號三樓,0.0,,,,1141121,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650224,102.5,2,2,1,有,無,有,39000,380,,0.0,0,,RPTNMLSLJIKGFDA38CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
信義區,租賃房屋,臺北市信義區基隆路一段３５０號三樓之１９,0.0,,,,1141126,土地0建物1車位0,三層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621124,40.85,2,1,1,有,無,有,13000,318,,0.0,0,續租案件；,RPUNMLSLJIKGFDA48CC,整棟(戶)出租,無,1141127~1151126,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
松山區,租賃房屋,臺北市松山區寶清街１０５巷１９、１９之１、之２、之３號,0.0,,,,1141124,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0591204,81.8,12,8,4,有,無,無,40000,489,,0.0,0,19號2樓多人共同承租2；,RPOOMLSLJIKGFDA97CC,分層出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,一般轉租
松山區,租賃房屋,臺北市松山區寶清街１１１巷３６之３號,0.0,,,,1141126,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600630,85.68,3,1,1,有,無,無,40000,467,,0.0,0,36號4樓多人共同承租2；,RPPOMLSLJIKGFDA08CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,一般轉租
信義區,租賃房屋,臺北市信義區永吉路３０巷１４８弄２０號３樓,0.0,,,,1141123,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651230,106.36,2,2,2,有,有,無,45000,423,,0.0,0,租金總額含管理費；續租案件；,RPUOMLSLJIKGFDA58CC,整棟(戶)出租,無,1141117~1151116,無,,
松山區,租賃房屋,臺北市松山區南京東路３段２８７號１４樓,0.0,,,,1141128,土地0建物1車位0,十四層,14,辦公商業大樓,商業用,鋼筋混凝土造,0750923,159.44,1,0,2,有,有,無,96460,605,,0.0,0,僅租賃部分面積,RPVOMLSLJIKGFDA68CC,,有,1150101~1191231,有,冷氣,
信義區,租賃房屋,臺北市信義區林口街２４巷３４之２號,0.0,,,,1141121,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0581215,67.65,3,1,1,有,無,有,28000,414,,0.0,0,1.門牌整編，依謄本門牌申報，現場門牌為臺北市信義區林口街２４巷３４號３樓。2.租賃期間含免租金裝潢期自民國114年11月21日起至民國114年11月30日。含增建或未登記建物；,RPWOMLSLJIKGFDA78CC,整棟(戶)出租,無,1141121~1241130,無,冷氣、熱水器、洗衣機、冰箱,
松山區,租賃房屋,臺北市松山區敦化北路１００號,0.0,,,,1141125,土地0建物0車位0,十一層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0721005,30.42,300,10,300,有,無,有,20500,674,,0.0,0,租金總額含電費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPPPMLSLJIKGFDA18CC,分租套房,有,1141207~1151206,有,冷氣、熱水器、電視機、冰箱,一般轉租
南港區,租賃房屋,臺北市南港區興中路６６號１樓,0.0,,,,1141125,土地0建物1車位0,一層,22,店面(店鋪),一般零售業甲組（不含日用百貨）,鋼骨鋼筋混凝土造,1060707,138.01,0,0,0,無,有,無,80300,582,,0.0,0,租金總額含稅；,RPQPMLSLJIKGFDA28CC,,有,1141201~1191130,有,冷氣,
信義區,租賃房屋,臺北市信義區吳興街５８３巷１２弄１７號,0.0,,,,1141127,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0600301,47.4,2,1,1,有,無,有,17000,359,,0.0,0,,RPSPMLSLJIKGFDA48CC,整棟(戶)出租,無,1141215~1151214,無,冷氣、熱水器,社會住宅包租轉租
南港區,租賃房屋,臺北市南港區重陽路１６號５樓,0.0,,,,1141124,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700710,95.43,3,2,2,有,無,無,25000,262,,0.0,0,,RPUPMLSLJIKGFDA68CC,整棟(戶)出租,無,1141204~1151203,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
士林區,租賃房屋,臺北市士林區中山北路七段１４１巷１４弄６號４樓,0.0,,,,1141121,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680803,18.0,4,1,2,有,無,有,17800,989,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLSLJIKGFEA18CC,分租套房,無,1141122~1151121,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
北投區,租賃房屋,臺北市北投區中和街４９３巷８號二樓,0.0,,,,1141126,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671003,120.91,3,2,2,有,無,有,22000,182,,0.0,0,續租案件；,RPRNMLSLJIKGFEA28CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
北投區,租賃房屋,臺北市北投區大同街１８８巷７號,0.0,,,,1141126,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0590216,61.91,2,1,1,有,無,無,16000,258,,0.0,0,續租案件；,RPSNMLSLJIKGFEA38CC,整棟(戶)出租,無,1141220~1151219,無,瓦斯或天然氣,社會住宅包租轉租
士林區,租賃房屋,臺北市士林區忠義街７８巷３號３樓,0.0,,,,1141126,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,壁式預鑄鋼筋混凝土造,0680625,100.06,3,2,2,有,無,有,27000,270,,0.0,0,,RPVNMLSLJIKGFEA68CC,整棟(戶)出租,無,1141201~1160519,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
北投區,租賃房屋,臺北市北投區立農街二段２６４號４樓之１,0.0,,,,1141121,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850309,47.59,2,1,1,有,有,有,20000,420,,0.0,0,續租案件；,RPWNMLSLJIKGFEA78CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
北投區,租賃房屋,臺北市北投區東華街二段１７４巷８號４樓,0.0,,,,1141126,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730921,121.7,3,2,2,有,無,有,30000,247,,0.0,0,,RPPOMLSLJIKGFEA18CC,整棟(戶)出租,無,1141226~1171225,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
大安區,租賃房屋,臺北市大安區復興南路一段３４２號３樓A室,0.0,,,,1141122,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1121129,144.81,0,0,0,無,有,無,64000,442,,0.0,0,共有部分05979-000為車位，但沒有承租車位的部分。,RPTNMLSLJIKGFFA58CC,分層出租,有,1150201~1160531,有,冷氣,一般包租
大安區,租賃房屋,臺北市大安區安和路二段１８９巷１３號四樓,0.0,,,,1141126,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0580905,20.0,4,1,2,有,無,有,15400,770,,0.0,0,1343室租金總額含水費；網路費；,RPPOMLSLJIKGFFA28CC,分租雅房,無,1141126~1151209,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141126,土地0建物0車位0,全,4,透天厝,,加強磚造,,15.12,7,0,7,有,無,有,13000,860,,0.0,0,本案為透天建物之分租套房，本間為405室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLKMJIKGFBA17CC,分租套房,無,1141126~1151125,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141126,土地0建物0車位0,全,4,透天厝,,加強磚造,,15.12,7,0,7,有,無,有,13000,860,,0.0,0,本案為透天建物之分租套房，本間為405室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPRNMLKMJIKGFBA27CC,分租套房,無,1141126~1151125,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區延平北路二段２５８號二樓,0.0,,,,1141128,土地0建物0車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670621,19.74,59,0,59,有,無,有,16000,811,,0.0,0,本案為分租套房，本間為位於三樓的2303室，租金包含水電費、垃圾處理費，包租業者另免費附贈網路及第四台。多人共同承租2；租金總額含水費；電費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPSNMLKMJIKGFBA37CC,分租套房,無,1141128~1151127,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區延平北路二段２５８號二樓,0.0,,,,1141128,土地0建物0車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670621,19.74,59,0,59,有,無,有,16000,811,,0.0,0,本案為分租套房，本間為位於三樓的2303室，租金包含水電費、垃圾處理費，包租業者另免費附贈網路及第四台。多人共同承租2；租金總額含水費；電費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPTNMLKMJIKGFBA47CC,分租套房,無,1141128~1151127,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
中山區,租賃房屋,臺北市中山區林森北路３１０巷２號２樓之１,0.0,,,,1141121,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880928,49.989999999999995,2,1,1,有,有,無,23000,460,,0.0,0,,RPPNMLKMJIKGFCA17CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱,
松山區,租賃房屋,臺北市松山區南京東路五段３９９號７樓,0.0,,,,1141125,土地0建物0車位0,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0810114,33.06,10,0,10,有,有,有,26500,802,,0.0,0,僅租賃部分面積多人共同承租2；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLKMJIKGFDA27CC,分租套房,有,1141210~1151209,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
信義區,租賃房屋,臺北市信義區吳興街５８３巷１６弄１６號,0.0,,,,1141126,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0550201,59.76,2,1,1,有,無,無,18000,301,,0.0,0,,RPRNMLKMJIKGFDA47CC,整棟(戶)出租,無,1141216~1161215,無,,
士林區,租賃房屋,臺北市士林區台北市士林區天玉街１５號六樓,0.0,,,,1141128,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720119,25.5,22,6,22,有,無,有,25000,980,,0.0,0,本案為全新裝潢、全新家電，本間為分租套房，第611室，租金包含水費，包租業者另免費附贈網路及第四台。租金總額含水費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLKMJIKGFEA37CC,分租套房,無,1141128~1150331,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
士林區,租賃房屋,臺北市士林區台北市士林區天玉街１５號六樓,0.0,,,,1141128,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720119,25.5,22,6,22,有,無,有,25000,980,,0.0,0,本案為全新裝潢、全新家電，本間為分租套房，第611室，租金包含水費，包租業者另免費附贈網路及第四台。租金總額含水費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLKMJIKGFEA47CC,分租套房,無,1141128~1150331,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大安區,租賃房屋,臺北市大安區敦化南路二段８１巷５３號四樓,0.0,,,,1141124,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660804,41.45,4,2,2,有,無,有,36000,869,,0.0,0,本案為分租套房，本間為401室格局為兩房一廳一衛，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。多人共同承租2；租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLKMJIKGFFA57CC,分租套房,無,1141124~1151123,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
