鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
內湖區,租賃房屋,臺北市內湖區文湖街２之１號９樓,0.0,,,,1141121,土地0建物1車位0,九層,9,廠辦,工業用,鋼筋混凝土造,0900501,138.67000000000002,2,1,1,有,有,無,50000,361,,0.0,0,租賃建物部分範圍B室權利範圍約2分之1，含共有部分面積租金總額含稅；管理費；租賃期間有約定不同租金114年12月1日-117年11月30日租金含稅50000元117年12月1日-118年11月30日租金含稅52500元；,RPRNMLOLJIKGFCA67CC,,有,1141201~1181130,有,冷氣,
內湖區,租賃房屋,臺北市內湖區康寧路一段１８１巷５號,0.0,,,,1141121,土地0建物0車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,,19.1,2,3,2,有,無,有,15000,785,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPTOMLOLJIKGFCA97CC,分租套房,無,1141125~1151124,無,冷氣、冰箱,
大安區,租賃房屋,臺北市大安區忠孝東路四段２５０號１１樓之１,0.0,,,,1141121,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0640407,102.82,0,0,0,無,有,無,69000,671,,0.0,0,租金總額含稅；租賃期間有約定不同租金優惠租金裝潢期114/11/21-114/12/31租金46000含稅。115/01/01-116/12/31月租金69000含稅。117/01/01-118/12/31月租金72450含稅。119/01/01-121/12/31月租金77000含稅，如當年度行政院主計處躉售物價指數高於5%雙方再做調度調整。；,RPUNMLOLJIKGFFA28CC,,有,1141121~1211231,有,,
文山區,租賃房屋,臺北市文山區景文街１號１１樓之２,0.0,,,,1141121,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931105,39.82,1,0,1,有,有,有,14300,359,,0.0,0,管理費1330元，租金不含管理費，由承租人負擔。,RPSNMLPLJIKGFAA67CC,獨立套房,有,1141130~1151129,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區木新路二段１８０號３樓,0.0,,,,1141121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681231,84.4,3,2,1,有,無,有,19500,231,,0.0,0,,RPTNMLPLJIKGFAA77CC,整棟(戶)出租,無,1141201~1171130,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區辛亥路四段１２８之１號１２樓,0.0,,,,1141121,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼骨造,1060602,172.95,3,2,2,有,有,有,31200,180,,0.0,0,,RPUNMLPLJIKGFAA87CC,整棟(戶)出租,有,1141124~1150719,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區民生西路４２３巷２５號２樓,0.0,,,,1141124,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740415,15.0,5,0,5,有,無,有,13000,867,,0.0,0,203室多人共同承租2；,RPUNMLPLJIKGFBA97CC,分租套房,無,1141127~1151209,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區民生西路４２３巷２５號２樓,0.0,,,,1141124,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740415,20.0,5,0,5,有,無,有,15500,775,,0.0,0,204室,RPVNMLPLJIKGFBA08CC,分租套房,無,1141127~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區延平北路一段５１號１１樓之１０,0.0,,,,1141121,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700223,24.16,1,1,1,有,有,有,10000,414,,0.0,0,續租案件；,RPXNMLPLJIKGFBA28CC,獨立套房,有,1141205~1151204,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區民生西路４２３巷２５號２樓,0.0,,,,1141124,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740415,17.0,5,0,5,有,無,有,15000,882,,0.0,0,205室多人共同承租2；,RPOOMLPLJIKGFBA47CC,分租套房,無,1141127~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
萬華區,租賃房屋,臺北市萬華區桂林路４１號四樓,0.0,,,,1141121,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670616,81.47,3,2,1,有,無,有,19900,244,,0.0,0,續租案件；,RPROMLPLJIKGFBA77CC,整棟(戶)出租,無,1141129~1161128,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區長泰街７３巷２之２號三樓,0.0,,,,1141125,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660118,80.65,3,1,1,有,無,無,25500,316,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫之物件。續租案件；,RPVOMLPLJIKGFBA18CC,整棟(戶)出租,無,1141225~1151224,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
萬華區,租賃房屋,臺北市萬華區東園街１６０巷６號３樓,0.0,,,,1141121,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0641129,77.78,2,1,1,有,無,有,15000,193,,0.0,0,,RPOPMLPLJIKGFBA57CC,整棟(戶)出租,無,1141121~1151120,無,冷氣、熱水器、電視機,社會住宅代管
中山區,租賃房屋,臺北市中山區林森北路５７５號七樓之１６,0.0,,,,1141121,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660322,30.479999999999997,1,0,1,有,有,有,13000,427,,0.0,0,,RPTNMLPLJIKGFCA97CC,獨立套房,有,1141122~1161121,有,冷氣、熱水器,社會住宅代管
中山區,租賃房屋,臺北市中山區民權東路二段９號十樓之１０,0.0,,,,1141121,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681022,38.66,1,0,1,有,有,有,12000,310,,0.0,0,續租案件；,RPVNMLPLJIKGFCA18CC,獨立套房,有,1150111~1160110,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
內湖區,租賃房屋,臺北市內湖區五分街６８號６樓,0.0,,,,1141121,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861203,75.61,2,1,1,有,有,有,26000,344,,0.0,0,管理費：1830元，租金不含管理費，由承租人負擔。,RPROMLPLJIKGFCA87CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,臺北市中山區五常街５３巷９號五樓,0.0,,,,1141122,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680605,14.68,8,0,8,有,無,有,8000,545,,0.0,0,承租 501房租金總額含水費；瓦斯費；網路費；其他MOD；,RPTOMLPLJIKGFCA08CC,分租套房,無,1141201~1151130,無,冷氣、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
中山區,租賃房屋,臺北市中山區合江街７３巷３３號５樓,0.0,,,,1141124,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710510,28.759999999999998,5,1,5,有,有,無,12000,417,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPXOMLPLJIKGFCA48CC,分租套房,有,1141222~1151221,有,熱水器,一般代管
內湖區,租賃房屋,臺北市內湖區內湖路一段１巷９弄４號５樓,0.0,,,,1141125,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740208,111.34,3,2,2,有,無,有,35000,314,,0.0,0,此為臺北市社會住宅包租代管計畫之物件續租案件；,RPSPMLPLJIKGFCA08CC,整棟(戶)出租,無,1141125~1151124,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
內湖區,租賃房屋,臺北市內湖區環山路一段９巷７號２樓,0.0,,,,1141124,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0770820,20.42,5,0,2,有,無,無,17800,872,,0.0,0,,RPTPMLPLJIKGFCA18CC,分租雅房,無,1141124~1150531,無,冷氣,一般轉租
中山區,租賃房屋,臺北市中山區撫順街３９號六樓之６,0.0,,,,1141124,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780119,43.15,1,0,1,有,有,有,15000,348,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫之物件。,RPUPMLPLJIKGFCA28CC,獨立套房,有,1141201~1161130,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,臺北市中山區新生北路一段１０８之３號十一樓之４,0.0,,,,1141125,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671002,23.3,1,0,1,有,有,有,14500,622,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫之物件。續租案件；,RPXPMLPLJIKGFCA58CC,獨立套房,有,1141225~1151224,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中山區,租賃房屋,臺北市中山區民權東路二段７１巷４３號,0.0,,,,1141125,土地0建物0車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0561030,40.52,4,2,2,有,無,有,28000,691,,0.0,0,多人共同承租2；含增建或未登記建物；,RPQQMLPLJIKGFCA97CC,分租套房,無,1141128~1151127,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
信義區,租賃房屋,臺北市信義區松德路３６號４樓,0.0,,,,1141121,土地0建物1車位0,四層,12,辦公商業大樓,住家用,鋼筋混凝土造,0800123,125.58000000000001,0,0,0,無,有,無,14800,118,,0.0,0,本樓層為分租辦公室，承租D室,RPPNMLPLJIKGFDA67CC,,有,1141201~1151130,有,,
松山區,租賃房屋,臺北市松山區敦化北路１００號,0.0,,,,1141121,土地0建物0車位0,十層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0721005,30.73,300,10,300,有,無,有,19500,635,,0.0,0,租金總額含電費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPTNMLPLJIKGFDA08CC,分租套房,有,1141227~1151226,有,冷氣、電視機,一般轉租
